简称	全称	预留	代码	全称(用于全称->代码映射)	预留	键	值	预留	原表名(J)	新表名(K)
广州	广州银行		5k01	广州银行		报表名称	统计分析	仲恺区存贷统计月报	人民币 	1人民币
华润	珠海华润银行		5k03	珠海华润银行		数据日期	2025-04-30	仲恺区专项统计季报	外币 	1外币
东莞银行	东莞银行		5k04	东莞银行				统计分析	1人民币 	1人民币
南粤	广东南粤银行		5k05	广东南粤银行					1外币 	1外币
华兴	广东华兴银行		5k06	广东华兴银行					人民币	1人民币
惠州农商	惠州农村商业银行		6k0i	惠州农村商业银行					外币	1外币
东莞农商	东莞农村商业银行		6k04	东莞农村商业银行					sheet1	哈哈1
兴业	兴业银行		40a0	兴业银行					Sheet1	WWW1
民生	中国民生银行		40c0	中国民生银行						
工行	中国工商银行		3010	中国工商银行						
农行	中国农业银行		3020	中国农业银行						
中行	中国银行		3030	中国银行						
建行	中国建设银行		3040	中国建设银行						
交行	交通银行		4010	交通银行						
中信	中信银行		4020	中信银行						
光大	中国光大银行		4030	中国光大银行						
广发	广发银行		4060	广发银行						
平安	平安银行		4070	平安银行						
招行	招商银行		4080	招商银行						
浦发	上海浦东发展银行		4090	上海浦东发展银行						
邮储	中国邮政储蓄银行		7010	中国邮政储蓄银行						
TCL	TCL财务公司		ck0a	TCL财务公司						
广州银行	广州银行		6k0p 	惠东农村商业银行						
珠海华润银行	珠海华润银行		6k0u	龙门农村商业银行						
东莞银行	东莞银行		6k0q	博罗农村商业银行						
广东南粤银行	广东南粤银行		7020	惠东惠民存在银行						
广东华兴银行	广东华兴银行		7020	博罗长江村镇银行						
惠州农村商业银行	惠州农村商业银行									
东莞农村商业银行	东莞农村商业银行									
兴业银行	兴业银行									
中国民生银行	中国民生银行									
中国工商银行	中国工商银行									
中国农业银行	中国农业银行									
中国银行	中国银行									
中国建设银行	中国建设银行									
交通银行	交通银行									
中信银行	中信银行									
中国光大银行	中国光大银行									
广发银行	广发银行									
平安银行	平安银行									
招商银行	招商银行									
上海浦东发展银行	上海浦东发展银行									
中国邮政储蓄银行	中国邮政储蓄银行									
TCL财务公司	TCL财务公司									
惠东农商	惠东农村商业银行									
龙门农商	龙门农村商业银行									
博罗农商	博罗农村商业银行									
惠东惠民	惠东惠民存在银行									
博罗长江	博罗长江村镇银行									
惠东农村商业银行	惠东农村商业银行									
龙门农村商业银行	龙门农村商业银行									
博罗农村商业银行	博罗农村商业银行									
惠东惠民存在银行	惠东惠民存在银行									
博罗长江村镇银行	博罗长江村镇银行									
农业银行	中国农业银行									
建设银行	中国建设银行									
