报表机构名	映射机构名	是否外资行
中国农业发展银行	中国农业发展银行	0
中国工商银行	中国工商银行	0
中国农业银行	中国农业银行	0
中国银行	中国银行	0
中国建设银行	中国建设银行	0
交通银行	交通银行	0
中信银行	中信银行	0
中国光大银行	中国光大银行	0
华夏银行	华夏银行	0
广发银行	广发银行	0
平安银行	平安银行	0
招商银行	招商银行	0
上海浦东发展银行	上海浦东发展银行	0
兴业银行	兴业银行	0
中国民生银行	中国民生银行	0
浙商银行	浙商银行	0
广州银行	广州银行	0
珠海华润银行股份有限公司	广东华润银行	0
东莞银行	东莞银行	0
广东南粤银行股份有限公司	广东南粤银行	0
广东华兴银行	广东华兴银行	0
中国邮政储蓄银行	中国邮政储蓄银行	0
东莞农村商业银行有限公司	东莞农村商业银行	0
广东惠州农商行	惠州农村商业银行	0
惠东农村商业银行	惠东农村商业银行	0
博罗农村商业银行	博罗农村商业银行	0
广东龙门农村商业银行股份有限公司	龙门农村商业银行	0
惠东惠民村镇银行	惠东惠民村镇银行	0
博罗长江村镇银行	博罗长江村镇银行	0
香港汇丰银行                            	汇丰银行	1
香港东亚银行                            	东亚银行	1
澳门国际银行股份有限公司广州分行	澳门国际银行	1
TCL财务公司	TCL财务公司	0
广州市商业银行                          	广州银行	0
东莞市商业银行                          	东莞银行	0
农业发展银行	中国农业发展银行	0
珠海华润银行	广东华润银行	0
村镇银行	村镇银行	0
广东华润银行股份有限公司	广东华润银行	0
